topic,term,beta
3,S,0.0010534957257234262
4,S,2.215294285336854e-5
5,S,0.004564299055953303
6,S,0.003037121420156285
7,S,0.0011320733435745617
8,S,5.670793007641199e-4
1,sag,0.002520964251751785
2,sag,7.182660199049821e-8
3,sag,0.001719587761274897
4,sag,1.0338598911328183e-4
5,sag,0.003006741823175693
6,sag,0.0011103871897266613
7,sag,0.022654923343690986
8,sag,3.841652026379067e-5
1,samfund,0.004018312305097142
2,samfund,6.561913290075022e-8
3,samfund,8.809198725812212e-4
4,samfund,0.0037065925623694243
5,samfund,0.003888993744221693
6,samfund,5.35014828931985e-4
7,samfund,9.931002236748473e-4
8,samfund,0.00463489984758615
1,sen,0.0049353055620495025
2,sen,0.0032891885947172283
3,sen,0.0010924943601279082
4,sen,0.0021841487628045018
5,sen,0.0017174284483963324
6,sen,0.0024163686201427274
7,sen,0.0019795083881025107
8,sen,0.0020407703121409684
1,skat,5.461387967663788e-5
2,skat,4.746888413012081e-4
3,skat,9.891891154241917e-5
4,skat,9.653599416215932e-11
5,skat,0.001653310823168472
6,skat,0.0010766268841649477
7,skat,4.2639591649383746e-4
8,skat,2.0559372632785128e-4
1,skrive,0.003351509636744642
2,skrive,0.004074568971806719
3,skrive,0.0028232651045449688
4,skrive,0.0014994364742372264
5,skrive,0.004662624996138555
6,skrive,4.5372759970869065e-4
7,skrive,0.005305796418023366
8,skrive,0.008843127179170102
1,stige,0.0028676938794069563
2,stige,2.1493981263718242e-11
3,stige,6.916400831796974e-5
4,stige,9.473662418434362e-4
5,stige,0.0016958917512115413
6,stige,0.004351667371417563
7,stige,0.001248862225211863
8,stige,9.107306079124053e-4
1,top,9.981371619972165e-6
2,top,0.0017007081338639045
3,top,2.514221100135381e-5
4,top,3.676263459999403e-4
5,top,9.435945573075085e-4
6,top,1.2217568730160067e-4
7,top,4.2965994592223e-5
8,top,4.5516628776719626e-4
1,true,6.233958458056792e-4
2,true,1.8119114968793352e-4
3,true,9.264612929503293e-5
4,true,0.001885291318968455
5,true,9.977994693789788e-4
6,true,8.332996105214356e-5
7,true,0.0010350113621009516
8,true,6.56331965545124e-4
1,udland,8.34751573173164e-4
2,udland,1.483974346740623e-4
3,udland,7.759612822435383e-8
4,udland,1.2270777073997063e-4
5,udland,6.992166065471352e-4
6,udland,8.769226139925676e-5
7,udland,5.148862700781391e-4
8,udland,1.9348574884280197e-4
1,udvikling,0.002656041464288901
2,udvikling,2.6228053700963613e-4
3,udvikling,0.001206986118804367
4,udvikling,3.60034716290125e-5
5,udvikling,8.92873419544595e-4
6,udvikling,0.002226056952250501
7,udvikling,2.0872940817112892e-4
8,udvikling,5.390211528919459e-4
1,ung,9.637780768615897e-4
2,ung,0.0019859981070053318
3,ung,0.01021870036756069
4,ung,0.0037336307796307982
5,ung,0.0013989702596675642
6,ung,0.001881198503105203
7,ung,0.0032901789117433366
8,ung,0.0031843579703245946
1,vække,4.396852958984915e-5
2,vække,1.6649691987388754e-4
3,vække,5.500794488155099e-4
4,vække,4.1912188622026606e-4
5,vække,4.968236370562553e-4
6,vække,3.884507006051744e-5
7,vække,5.149420815893306e-4
8,vække,5.965780258751141e-4
1,vende,5.746027713186691e-4
2,vende,6.253632857445213e-4
3,vende,0.002200879825424058
4,vende,0.0013344956409431109
5,vende,0.0015515779637934903
6,vende,3.43542250911188e-4
7,vende,3.153123708497183e-5
8,vende,0.0018239760915798103
1,virksomhed,1.568889503355032e-4
2,virksomhed,1.706513031772257e-4
3,virksomhed,1.38825413412726e-4
4,virksomhed,2.0423625219753353e-4
5,virksomhed,0.004253039014590362
6,virksomhed,0.0026045145157072174
7,virksomhed,0.0010709558218133012
8,virksomhed,6.284187774162805e-5
1,vokse,0.001888491063296139
